Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
80,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24-278,1999,25,22,1878,20.9,2,0,2,2,0,0,4,0,2.3,2.3,1.7,4.0,68,29,124
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,33-107,1990,4,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,9,26
82,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,23-016,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15
83,Sergi Altimira,es ESP,MF,Betis,es La Liga,22-232,2001,12,6,504,5.6,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,9,28,7
84,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26-172,1997,26,24,2058,22.9,1,1,2,1,0,0,10,0,1.3,1.3,0.4,1.7,17,76,23
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,24-020,2000,27,24,2073,23.0,1,0,1,1,0,0,5,0,0.7,0.7,0.5,1.2,11,51,32
86,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20-286,2003,6,3,278,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.9,16,21,44
87,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,24-073,2000,30,28,2360,26.2,8,7,15,7,1,1,2,0,10.7,10.0,6.2,16.2,54,92,154
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29-080,1995,13,9,761,8.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,8,24,2
89,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21-345,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13
