,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
52,51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches
53,52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
55,54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
56,55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.10,0.06,0.16,0.10,0.16,Matches
57,56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
58,57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09,Matches
59,58,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
60,59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
