Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1403,Luca Koleosho,it ITA,"FW,DF",Espanyol,es La Liga,17,2004,4,0,59,0.7,1,0,1,1,0,0,0,0,0,0,0,0,4,1,15
1404,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,23,1998,32,31,2631,29.2,15,11,26,13,2,2,6,1,13.2,11.6,6.5,18.1,97,61,240
1405,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,de Bundesliga,30,1991,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,Cheick Konaté,ci CIV,DF,Clermont Foot,fr Ligue 1,18,2004,9,6,572,6.4,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,12,21,9
1407,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23,1999,18,17,1552,17.2,0,0,0,0,0,0,5,0,1.2,1.2,0.1,1.4,7,56,5
1408,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,29,1993,20,10,1006,11.2,0,2,2,0,0,0,5,0,0.7,0.7,0.9,1.6,6,42,5
1409,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,23,1999,37,15,1577,17.5,7,1,8,5,2,3,3,0,5.6,3.2,1,4.3,15,27,109
1410,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,21,2001,30,30,2608,29,1,1,2,1,0,0,12,0,1.2,1.2,1.3,2.5,59,166,55
1411,Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27,1995,13,12,916,10.2,0,0,0,0,0,0,4,0,0,0,0.1,0.1,14,23,16
1412,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,24,1997,38,37,3322,36.9,0,0,0,0,0,0,6,0,1.1,1.1,1.3,2.3,7,56,11
1413,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,24,1998,33,32,2858,31.8,10,4,14,8,2,4,7,0,7.6,4.3,6.4,10.7,60,186,106
1414,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21,2001,24,17,1523,16.9,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,26,77,16
1415,Filip Kostić,rs SRB,"DF,FW",Juventus,it Serie A,29,1992,37,33,2564,28.5,3,8,11,3,0,0,3,0,2.4,2.4,7.1,9.4,101,78,230
1416,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,de Bundesliga,29,1992,1,1,74,0.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,4,3
1417,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,24,1997,28,22,1866,20.7,4,4,8,4,0,0,5,0,5.3,5.3,3.7,9,50,54,203
1418,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,25,1996,32,31,2661,29.6,1,1,2,1,0,0,9,0,1.4,1.4,2.1,3.5,59,169,36
1419,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,29,1992,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31,1991,23,20,1800,20,2,1,3,2,0,0,7,1,0.9,0.9,0.4,1.4,10,81,4
1421,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,23,1998,29,28,2426,27,1,3,4,1,0,0,2,0,1.1,1.1,2.8,3.9,58,185,61
1422,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,25,1997,15,15,1256,14,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,3,27,1
1423,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,eng Premier League,32,1989,21,10,882,9.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,6,19,14
1424,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,28,1994,27,17,1707,19,1,2,3,1,0,0,8,0,1.8,1.8,2.1,3.9,37,153,30
1425,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,26,1996,18,7,548,6.1,0,0,0,0,0,0,1,0,1.6,1.6,0.6,2.2,4,22,28
1426,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,de Bundesliga,21,2000,5,5,379,4.2,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,15,10,37
1427,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,27,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,Alex Král,cz CZE,MF,Schalke 04,de Bundesliga,24,1998,29,26,2357,26.2,0,0,0,0,0,0,3,0,1.5,1.5,0.7,2.2,41,100,70
1429,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,31,1991,32,26,2386,26.5,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49,100,191
1430,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,31,1991,29,27,2222,24.7,0,0,0,0,0,0,4,0,0.4,0.4,2,2.4,26,79,60
1431,Tom Krauß,de GER,MF,Schalke 04,de Bundesliga,21,2001,32,31,2514,27.9,2,0,2,2,0,0,8,0,2.2,2.2,0.9,3.1,35,86,38
1432,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,25,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1433,Raimonds Krollis,lv LVA,"FW,DF",Spezia,it Serie A,20,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,4
1434,Toni Kroos,de GER,MF,Real Madrid,es La Liga,32,1990,30,25,2155,23.9,2,4,6,2,0,0,2,1,1.4,1.4,4.4,5.9,51,319,38
1435,Rade Krunić,ba BIH,MF,Milan,it Serie A,28,1993,23,18,1657,18.4,0,1,1,0,0,0,8,0,1.1,1.1,1.1,2.2,31,73,21
1436,Max Kruse,de GER,"MF,FW",Wolfsburg,de Bundesliga,34,1988,5,2,272,3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,4,7,30
1437,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,29,1992,22,19,1639,18.2,2,1,3,2,0,0,1,0,0.9,0.9,0.4,1.3,11,57,50
